,local_description,full_name,isin,pricescale,date,open,high,low,close,volume
2062,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-14 07:00:00,29.055,29.17,28.755,29.115,10055700.0
2063,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-15 07:00:00,29.18,29.3,29.0,29.16,8769100.0
2064,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-16 07:00:00,29.105,29.26,28.95,29.015,7945000.0
2065,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-19 07:00:00,29.0,29.15,28.93,29.055,7414900.0
2066,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-20 07:00:00,29.055,29.09,26.62,27.5,36602900.0
2067,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-21 07:00:00,25.505,26.47,24.025,25.96,51417800.0
2068,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-22 07:00:00,26.0,26.8,26.0,26.405,18025500.0
2069,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-23 07:00:00,26.48,26.48,24.84,25.095,19129000.0
2070,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-26 07:00:00,24.845,24.85,18.835,20.745,225442500.0
2071,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-27 07:00:00,20.78,21.795,20.675,21.6,57080100.0
2072,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-28 07:00:00,21.61,22.38,21.22,21.945,46392000.0
2073,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-29 07:00:00,22.02,22.135,20.8,21.205,31958000.0
2074,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-09-30 07:00:00,21.225,22.145,19.92,22.0,43473400.0
2075,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-03 07:00:00,22.15,23.6,21.81,23.2,36928400.0
2076,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-04 07:00:00,23.26,23.695,22.4,23.24,32927300.0
2077,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-05 07:00:00,23.4,24.385,22.06,23.91,50816200.0
2078,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-06 07:00:00,24.15,24.465,22.655,23.345,22829900.0
2079,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-07 07:00:00,23.34,23.45,22.115,22.215,22976300.0
2080,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-10 07:00:00,21.715,23.115,21.0,22.76,26697300.0
2081,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-11 07:00:00,22.965,23.75,22.885,23.465,13803800.0
2082,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-12 07:00:00,23.575,23.66,22.935,23.245,9231700.0
2083,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-13 07:00:00,23.34,23.495,23.11,23.37,7963100.0
2084,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-14 07:00:00,23.53,23.53,23.075,23.3,5721000.0
2085,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-17 07:00:00,23.37,24.145,23.33,24.0,9241700.0
2086,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-18 07:00:00,24.01,24.375,23.165,23.455,12710800.0
2087,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-19 07:00:00,23.45,23.57,23.01,23.435,7350300.0
2088,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-20 07:00:00,23.495,23.875,23.33,23.555,6183800.0
2089,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-21 07:00:00,23.555,23.78,23.23,23.695,5551100.0
2090,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-24 07:00:00,23.785,24.0,23.56,23.735,6633100.0
2091,СУРГУТНЕФТЕГАЗ ПАО АП,MOEX:SNGSP,RU0009029524,1000,2022-10-25 07:00:00,23.81,24.465,23.655,24.38,14067200.0
